QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
IMS-0001,ANATOMY,,The lymph node group primarily draining the upper outer quadrant of the breast is:,Anterior (pectoral) nodes,,,,,A,
IMS-0002,ANATOMY,,Arteries at 5 and 7 o'clock positions that bleed during transurethral surgery are called:,Badenoch arteries,,,,,A,
IMS-0003,ANATOMY,,Breast cancer metastasis to the vertebral column occurs through:,Batson venous plexus (vertebral venous connections),,,,,A,
IMS-0004,ANATOMY,,"During tracheostomy in an 18-month-old infant, the surgeon must be careful of which structure inferior to the trachea?",Brachiocephalic (innominate) vein,,,,,A,
IMS-0005,ANATOMY,,A patient with numbness on the medial hand/forearm and compromised forearm blood supply likely has:,Cervical rib,,,,,A,
IMS-0006,ANATOMY,,A patient with foot drop and inability to dorsiflex the great toe has injury to:,Common peroneal nerve,,,,,A,
IMS-0007,ANATOMY,,CSF rhinorrhea with anosmia after head trauma indicates fracture of:,Cribriform plate of the ethmoid bone,,,,,A,
IMS-0008,ANATOMY,,Bleeding near Calot's triangle during laparoscopic cholecystectomy is from:,Cystic artery,,,,,A,
IMS-0009,ANATOMY,,"In SMA occlusion causing mesenteric ischemia, which gut segment is spared?",Descending colon,,,,,A,
IMS-0010,ANATOMY,,A structure found in the posterior mediastinum is:,Descending thoracic aorta,,,,,A,
IMS-0011,ANATOMY,,Pterion fracture is associated with:,Epidural hematoma (middle meningeal artery rupture),,,,,A,
IMS-0012,ANATOMY,,"During aspiration, the first anatomical structure that can trap aspirated material is:",False vocal cords (vestibular folds),,,,,A,
IMS-0013,ANATOMY,,The deep peroneal nerve provides sensation to:,First dorsal web space,,,,,A,
IMS-0014,ANATOMY,,"After hamstring paralysis, residual knee flexion is maintained by:",Gastrocnemius,,,,,A,
IMS-0015,ANATOMY,,A posterior duodenal ulcer erodes which artery?,Gastroduodenal artery,,,,,A,
IMS-0016,ANATOMY,,A physician observes pelvic drop on the unsupported side when the patient stands on one leg (Trendelenburg test). This indicates weakness of:,Gluteus medius and minimus,,,,,A,
IMS-0017,ANATOMY,,Pain from gastric carcinoma is transmitted through which nerve fibers?,Greater splanchnic nerves,,,,,A,
IMS-0018,ANATOMY,,The majority of the middle cranial fossa floor is formed by the:,Greater wing of sphenoid,,,,,A,
IMS-0019,ANATOMY,,A hernial sac lateral to the inferior epigastric vessels indicates:,Indirect inguinal hernia,,,,,A,
IMS-0020,ANATOMY,,"During surgery, a needle is passed to the upper surface of the bladder for emptying. The vessel at risk of injury is:",Inferior epigastric artery,,,,,A,
IMS-0021,ANATOMY,,A horseshoe kidney remains low in the abdomen because it is trapped under:,Inferior mesenteric artery,,,,,A,
IMS-0022,ANATOMY,,The superior rectal artery is a branch of the:,Inferior mesenteric artery,,,,,A,
IMS-0023,ANATOMY,,The superior rectal artery is the terminal branch of:,Inferior mesenteric artery,,,,,A,
IMS-0024,ANATOMY,,A patient stabbed just below the xiphisternum on the right side damages which structure?,Inferior vena cava,,,,,A,
IMS-0025,ANATOMY,,Sensory innervation of the peripheral diaphragm is provided by:,Intercostal nerves (lower 6),,,,,A,
IMS-0026,ANATOMY,,The inferior rectal vein drains into the:,Internal pudendal vein,,,,,A,
IMS-0027,ANATOMY,,The right spermatic vein drains into the:,IVC,,,,,A,
IMS-0028,ANATOMY,,A stab injury at the 6th ICS on the right parasternal line pierces:,IVC,,,,,A,
IMS-0029,ANATOMY,,The sciatic nerve root value is:,L4-S3,,,,,A,
IMS-0030,ANATOMY,,Which artery primarily supplies the anterior two-thirds of the interventricular septum?,Left Anterior Descending (LAD) artery,,,,,A,
IMS-0031,ANATOMY,,"In portal hypertension with hematemesis, the portosystemic anastomosis involves:",Left gastric vein-esophageal veins,,,,,A,
IMS-0032,ANATOMY,,"Post-spinal surgery, difficulty moving the arm backward indicates injury to:",Long thoracic nerve (serratus anterior),,,,,A,
IMS-0033,ANATOMY,,The primary content of the foramen ovale is:,Mandibular nerve (V3),,,,,A,
IMS-0034,ANATOMY,,Ulnar nerve entrapment commonly occurs at the:,Medial epicondyle of humerus (cubital tunnel),,,,,A,
IMS-0035,ANATOMY,,Flattened thenar eminence and abnormal thumb movements indicate injury to:,Median nerve,,,,,A,
IMS-0036,ANATOMY,,A patient cannot flex the index finger and has lost palmar sensation in the lateral 3.5 fingers. The affected nerve is:,Median nerve,,,,,A,
IMS-0037,ANATOMY,,Fracture at the pterion most likely ruptures the:,Middle meningeal artery,,,,,A,
IMS-0038,ANATOMY,,"In defective cardiac conduction, a pacemaker lead is placed near the:",Moderator band (right ventricle),,,,,A,
IMS-0039,ANATOMY,,The posterior wall of the inguinal canal is reinforced by the:,Pectineal (Cooper's) ligament,,,,,A,
IMS-0040,ANATOMY,,"During oophorectomy, the ureter is at risk where it crosses the iliac vessels at the:",Pelvic brim,,,,,A,
IMS-0041,ANATOMY,,A 72-year-old woman with a displaced surgical neck of humerus fracture has which artery at greatest risk?,Posterior circumflex humeral artery,,,,,A,
IMS-0042,ANATOMY,,A 72-year-old woman with a surgical neck of humerus fracture has which structures at greatest risk?,Posterior circumflex humeral artery and axillary nerve,,,,,A,
IMS-0043,ANATOMY,,A lady with hoarseness and whispering voice with sluggish vocal cord movement has injury to:,Recurrent laryngeal nerve,,,,,A,
IMS-0044,ANATOMY,,"During thyroidectomy, ligation of the inferior thyroid artery puts which nerve at risk?",Recurrent laryngeal nerve,,,,,A,
IMS-0045,ANATOMY,,A 47-year-old man with a perforated anterior duodenal ulcer has leaked contents collecting primarily in the:,Right posterior subphrenic space,,,,,A,
IMS-0046,ANATOMY,,Which lung segment is associated with the eparterial bronchus?,Right superior lobe,,,,,A,
IMS-0047,ANATOMY,,Parasympathetic innervation for bladder contraction (detrusor) originates from spinal nerve roots:,S2-S4 (pelvic splanchnic nerves),,,,,A,
IMS-0048,ANATOMY,,Injury in the posterior triangle of the neck most commonly damages:,Spinal accessory nerve (CN XI),,,,,A,
IMS-0049,ANATOMY,,A jugular foramen fracture would SPARE which muscle?,Styloglossus (CN XII),,,,,A,
IMS-0050,ANATOMY,,A supine patient on the operating table aspirates vomit. The most likely affected lung segment is:,Superior (apical) segment of right lower lobe,,,,,A,
IMS-0051,ANATOMY,,A patient receives a 3cm vertical stab wound lateral to the right linea alba. He was initially stable but then develops hypotension and shock. The most likely damaged vessel is:,Superior mesenteric artery,,,,,A,
IMS-0052,ANATOMY,,An unconscious supine patient aspirates vomit into which lung segment?,Superior segment of right lower Lobe,,,,,A,
IMS-0053,ANATOMY,,Gallbladder referred pain is felt at dermatome:,T8-T9,,,,,A,
IMS-0054,ANATOMY,,A patient with inferior axillary injury cannot climb or swim effectively. The damaged nerve is:,Thoracodorsal nerve,,,,,A,
IMS-0055,ANATOMY,,Which structure is located in the anterior mediastinum?,Thymus,,,,,A,
IMS-0056,ANATOMY,,Interosseous and hypothenar atrophy with spared thenar eminence indicates injury to:,Ulnar nerve,,,,,A,
IMS-0057,ANATOMY,,Lower rib fractures most commonly involve which rib?,7th rib,,,,,A,
IMS-0058,ANATOMY,,Which lymph node group drains the lateral portion of the breast?,Central lymph nodes,,,,,A,
IMS-0059,ANATOMY,,"In acute appendicitis, initial periumbilical pain is referred from which spinal dermatome?",T10,,,,,A,
IMS-0060,ANATOMY,,"When a foreign body is aspirated while the patient is supine, which part of the lung is it most likely to enter?",Apical segment of the right lower lobe,,,,,A,
IMS-0061,ANATOMY,,Which nerve transmits pain from peritoneal irritation in the epigastric region to the spinal cord?,Greater splanchnic nerve,,,,,A,
IMS-0062,ANATOMY,,The patient has weakness with elbow flexion and impaired forearm supination. Which nerve is most likely injured?,Musculocutaneous nerve,,,,,A,
IMS-0063,ANATOMY,,"After posterior shoulder trauma, a man cannot laterally rotate his shoulder. Which muscle is most likely injured?",Infraspinatus,,,,,A,
IMS-0064,ANATOMY,,Which artery provides the primary blood supply to the anterior two-thirds of the tongue?,Lingual artery,,,,,A,
IMS-0065,ANATOMY,,A patient presents with epistaxis originating from the lateral nasal wall. Which artery is most likely involved?,Sphenopalatine artery,,,,,A,
IMS-0066,ANATOMY,,Ischemic colitis is confined to the transverse colon. Which arterial branch is most likely occluded?,Middle colic artery,,,,,A,
IMS-0067,ANATOMY,,The lymph from the first dorsal web space of the hand drains primarily to which group of lymph nodes?,Infraclavicular,,,,,A,
IMS-0068,ANATOMY,,A man lifting a heavy weight suddenly experiences pain and swelling in his proximal forearm. Which muscle that inserts on the radial tuberosity is most likely injured?,Biceps brachii,,,,,A,
IMS-0069,ANATOMY,,A man has numbness along the medial forearm and hand and shows signs of reduced arterial flow to the forearm. What is the most likely cause?,Cervical rib,,,,,A,
IMS-0070,ANATOMY,,A posterior duodenal ulcer has caused gastrointestinal bleeding. Which artery is most likely to have been eroded?,Gastroduodenal artery,,,,,A,
