QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
BRS-P-001,ANATOMY,,The primary visual cortex (Brodmann area 17) is located around the:,Central sulcus,Lateral sulcus,Parieto-occipital sulcus,Calcarine sulcus,Cingulate sulcus,D,
BRS-P-002,ANATOMY,,Functional unit (zone) of the lung distal to the terminal bronchiole?,Respiratory bronchiole,Alveolar duct,Pulmonary acinus,Alveolar sac,,C,
BRS-P-003,ANATOMY,,"A 35-year-old man develops limping after pelvic trauma. On examination, when he stands on the affected leg, his pelvis tilts down on the opposite side. This gait is most likely due to injury of:",Inferior gluteal nerve,Superior gluteal nerve,Sciatic nerve,Femoral nerve,,B,
BRS-P-004,ANATOMY,,The cell bodies of sensory neurons for pain and touch in spinal nerves are located in:,Anterior horn of spinal cord,Posterior root ganglion / Dorsal root ganglion,Nucleus gracilis,Substantia gelatinosa,,B,
BRS-P-005,ANATOMY,,Baker's cyst is most commonly a distension of the bursa located between which two muscles?,Biceps femoris and Semitendinosus,Semimembranosus and Medial head of Gastrocnemius,Sartorius and Gracilis,Popliteus and Plantaris,,B,
BRS-P-006,ANATOMY,,Taste sensation from the anterior 2/3rd of the tongue is carried by which nerve?,Glossopharyngeal nerve,Chorda tympani branch of Facial nerve,Vagus nerve,Hypoglossal nerve,,B,
BRS-P-007,ANATOMY,,A patient has injury in the posterior triangle of neck and is unable to shrug his shoulders. Which nerve is damaged?,Dorsal scapular nerve,Accessory nerve / CN XI,Phrenic nerve,Long thoracic nerve,,B,
BRS-P-008,ANATOMY,,"A baby presents with ""Waiter's tip"" deformity of upper limb. Which nerve is injured?",Radial nerve,Upper trunk of brachial plexus / Erb's palsy,Lower trunk of brachial plexus,Median nerve,,B,
BRS-P-009,ANATOMY,,Axillary lymph nodes are divided into how many anatomical levels?,Three levels (based on pectoralis minor),,,,,A,
BRS-P-010,ANATOMY,,Which cranial nerve passes through the foramen ovale?,Mandibular nerve (V3),,,,,A,
