QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint
RWR-Cardiovascular System-001,Cardiovascular System,,"A 60-year-old man with a history of hypertension presents to the emergency department with severe chest pain radiating to the epigastrium for the past 2 hours, associated with sweating and nausea. His blood pressure is 90/60 mmHg, and pulse is 48/min. On examination, he appears pale and diaphoretic. ECG shows ST-segment elevation in leads II, III, and aVF with reciprocal ST depression in leads I and aVL.Which coronary artery is most likely involved in this patient's myocardial infarction?",Left anterior descending artery (LAD),Left circumflex artery (LCX),Right coronary artery (RCA),Obtuse marginal artery,Diagonal branch of LAD,C,"<span style=""color:green""><b>Right coronary artery (RCA):</b></span> ST elevation in II, III, aVF → inferior MI, RCA occlusion; also explains bradycardia/hypotension.<br><br><span style=""color:red""><b>Left anterior descending artery (LAD):</b></span> Causes anterior MI (V1-V4).<br><br><span style=""color:red""><b>Left circumflex artery (LCX):</b></span> Causes lateral MI (I, aVL, V5-V6).<br><br><span style=""color:red""><b>Obtuse marginal artery:</b></span> Branch of LCX, lateral wall.<br><br><span style=""color:red""><b>Diagonal branch of LAD:</b></span> Anterolateral wall.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Inferior leads → RCA.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The ECG shows ST elevation in II, III, aVF. What part of the heart do these leads look at, and which artery feeds it?"
RWR-Gastrointestinal System-001,Gastrointestinal System,,"A 27-year-old male presents with a history of progressive right lower quadrant abdominal pain, intermittent fever, and nausea for the past 10 days. On examination, he is febrile (38.2°C), pulse 105/min, BP 110/70 mmHg. Abdominal exam reveals a palpable, ill-defined tender mass in the right iliac fossa with localized guarding but no generalized peritonitis.Laboratory investigations show WBC count of 14,800/μL with neutrophilia. Ultrasound abdomen demonstrates an 8 cm heterogeneous inflammatory mass in the right iliac fossa, consistent with an appendicular phlegmon.What is the next best step in management?",Immediate appendectomy,Intravenous antibiotics,Laparoscopic drainage of abscess,Percutaneous aspiration under US guidance,Emergency right hemicolectomy,B,"<span style=""color:green""><b>Intravenous antibiotics:</b></span> Appendicular phlegmon (no pus) → conservative management, interval appendectomy.<br><br><span style=""color:red""><b>Immediate appendectomy:</b></span> Risky with phlegmon.<br><br><span style=""color:red""><b>Laparoscopic drainage of abscess:</b></span> For abscess, not phlegmon.<br><br><span style=""color:red""><b>Percutaneous aspiration under US guidance:</b></span> For fluid collections.<br><br><span style=""color:red""><b>Emergency right hemicolectomy:</b></span> Too radical.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Mass = antibiotics, abscess = drain.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The ultrasound calls the mass an “appendicular phlegmon.” What does the presence of a phlegmon (not a drainable abscess) tell you about the safety of immediate surgery?"
RWR-Cardiovascular System-002,Cardiovascular System,,"A 56-year-old man with a history of hypertension and smoking presents to the emergency department with acute-onset chest pain radiating to his left arm. He is found to be tachycardic with a heart rate of 140/min. His blood pressure is 130/85 mmHg, and ECG shows ST-segment elevation in the anterior leads. In this patient, which of the following hemodynamic changes due to tachycardia most likely predisposes him to myocardial ischemia?",Decreased duration of diastole,Increased preload,Increased afterload,Increased myocardial contractility,Increased cardiac output,A,"<span style=""color:green""><b>Decreased duration of diastole:</b></span> Tachycardia shortens diastole → ↓ coronary perfusion.<br><br><span style=""color:red""><b>Increased preload:</b></span> Actually decreases.<br><br><span style=""color:red""><b>Increased afterload:</b></span> Not directly.<br><br><span style=""color:red""><b>Increased myocardial contractility:</b></span> ↑ O2 demand but not primary mechanism.<br><br><span style=""color:red""><b>Increased cardiac output:</b></span> Loss of diastolic time key.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Faster heart = less coronary fill.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He is tachycardic at 140/min. During which phase of the cardiac cycle do the coronary arteries fill—and what happens to that phase when heart rate rises?"
RWR-Cardiovascular System-003,Cardiovascular System,,"A 62-year-old man with a history of long-standing hypertension is undergoing elective abdominal surgery under general anesthesia. During the procedure, his blood pressure suddenly rises to 190/110 mmHg. The anesthetist promptly administers antihypertensive medication to control his blood pressure. What is the primary reason for controlling hypertension in this patient during surgery?",To prevent intraoperative stroke due to hypertension,To reduce the risk of myocardial infarction caused by increased oxygen demand,To avoid impaired cardiac output secondary to increased afterload,To minimize excessive bleeding from the surgical site,To prevent reflex bradycardia due to baroreceptor stimulation,B,"<span style=""color:green""><b>To minimize excessive bleeding from the surgical site:</b></span> Hypertension → ↑ capillary pressure → oozing.<br><br><span style=""color:red""><b>To prevent intraoperative stroke:</b></span> Longer-term.<br><br><span style=""color:red""><b>To reduce risk of MI:</b></span> Secondary.<br><br><span style=""color:red""><b>To avoid impaired cardiac output:</b></span> Secondary.<br><br><span style=""color:red""><b>To prevent reflex bradycardia:</b></span> Not primary.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Dry surgical field first.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> During surgery, his BP shoots up to 190/110 mmHg. Why would the surgeon want the pressure lowered quickly—what immediate problem does hypertension cause in the operative field?"
RWR-Endocrine System-001,Endocrine System,,"A 17-year-old boy with type 1 diabetes mellitus presents with polyuria, polydipsia, vomiting, and abdominal pain, and laboratory findings show a blood glucose level of 420 mg/dL, serum sodium of 135 mEq/L, serum potassium of 4.5 mEq/L, and arterial blood gas indicating metabolic acidosis. He is started on IV fluids and insulin infusion, and after several hours, his blood glucose drops below 250 mg/dL, but metabolic acidosis persists. Which of the following is the next appropriate step in management?",Bicarbonate,Potassium,Dextrose,Normal saline,Dextrose saline,C,"<span style=""color:green""><b>Dextrose saline:</b></span> Glucose <250 mg/dL in DKA → add dextrose to prevent hypoglycemia while insulin clears ketones.<br><br><span style=""color:red""><b>Bicarbonate:</b></span> For pH <6.9.<br><br><span style=""color:red""><b>Potassium:</b></span> Replace as needed.<br><br><span style=""color:red""><b>Normal saline:</b></span> Without dextrose risks hypoglycemia.<br><br><span style=""color:red""><b>Dextrose:</b></span> D5W alone hypotonic.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Sugar <250? Add dextrose.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Blood glucose has fallen below 250 mg/dL, but the acidosis is not yet resolved. You still need insulin, but you also need to avoid hypoglycemia. What should you add to the IV fluids?"
RWR-Gastrointestinal System-002,Gastrointestinal System,,"A 55-year-old woman presents to the emergency department with sudden onset right upper quadrant abdominal pain radiating to the right shoulder. The pain started 12 hours ago and is associated with fever, nausea, and vomiting. On examination, she has tenderness and guarding in the right upper quadrant, with a positive Murphy's sign. Laboratory investigations reveal leukocytosis and mildly elevated liver enzymes. Ultrasound of the abdomen shows a thickened gallbladder wall with pericholecystic fluid, and multiple gallstones are seen. What is the most appropriate next step in management?",Urgent cholecystectomy,IV antibiotics and observation,Elective cholecystectomy in 6 weeks,Percutaneous cholecystostomy,Endoscopic retrograde cholangiopancreatography (ERCP),A,"<span style=""color:green""><b>Urgent cholecystectomy:</b></span> Acute cholecystitis → operate within 72h.<br><br><span style=""color:red""><b>IV antibiotics and observation:</b></span> Not definitive.<br><br><span style=""color:red""><b>Elective cholecystectomy in 6 weeks:</b></span> For late/high-risk.<br><br><span style=""color:red""><b>Percutaneous cholecystostomy:</b></span> For critically ill.<br><br><span style=""color:red""><b>ERCP:</b></span> For choledocholithiasis/cholangitis.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Early cholecystectomy within 72h.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Symptoms started 12 hours ago, and ultrasound shows a thickened gallbladder wall with pericholecystic fluid. Does modern practice favor operating now or waiting 6 weeks?"
RWR-Gastrointestinal System-003,Gastrointestinal System,,"A 62-year-old man presents with a painless swelling in the lower abdomen just above the inguinal ligament. The swelling increases on coughing and standing and reduces when lying down. On examination, the swelling is medial to the inferior epigastric vessels. Which type of hernia is most likely?",Direct inguinal hernia,Indirect inguinal hernia,Femoral hernia,Umbilical hernia,Spigelian hernia,A,"<span style=""color:green""><b>Direct inguinal hernia:</b></span> Medial to inferior epigastric vessels = direct.<br><br><span style=""color:red""><b>Indirect inguinal hernia:</b></span> Lateral to vessels.<br><br><span style=""color:red""><b>Femoral hernia:</b></span> Below inguinal ligament.<br><br><span style=""color:red""><b>Umbilical hernia:</b></span> At umbilicus.<br><br><span style=""color:red""><b>Spigelian hernia:</b></span> Lateral rectus edge.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Medial = Direct, Lateral = Indirect.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The swelling is “medial to the inferior epigastric vessels.” Which type of inguinal hernia is defined by a neck medial to those vessels?"
RWR-Nervous System-001,Nervous System,,"A 12-year-old boy presents to the clinic with multiple café-au-lait spots, freckling in the axillary region, and several cutaneous nodules on the trunk and limbs. On examination, some nodules are soft, and the patient reports that a few have been gradually increasing in size. Family history reveals that his mother has similar skin findings. Based on the clinical presentation and the attached image, what is the most likely diagnosis?",Neurofibromatosis,Cowden's disease,Rheumatoid arthritis,Legius syndrome,,A,"<span style=""color:green""><b>Neurofibromatosis:</b></span> Café-au-lait, axillary freckling, neurofibromas + family history = NF1.<br><br><span style=""color:red""><b>Cowden's disease:</b></span> Hamartomas, trichilemmomas.<br><br><span style=""color:red""><b>Rheumatoid arthritis:</b></span> Joint disease.<br><br><span style=""color:red""><b>Legius syndrome:</b></span> No neurofibromas.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""CALM, freckles, fibromas = NF1.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Multiple café‑au‑lait spots, axillary freckling, and cutaneous nodules—plus a parent with the same findings. Which inherited neurocutaneous syndrome matches this triad?"
RWR-Gastrointestinal System-004,Gastrointestinal System,,"A 65-year-old man presents with massive lower gastrointestinal bleeding. Initial investigations including colonoscopy and CT angiography localize the bleeding site. Angioembolization is performed to control the hemorrhage. Despite the procedure, the patient continues to have active bleeding, with ongoing transfusion requirements.What is the most appropriate next step in management?",Laparotomy with colectomy,Repeat angioembolization,Observation and supportive care,Endoscopic hemostasis,Rectal packing,A,"<span style=""color:green""><b>Laparotomy with colectomy:</b></span> Failed angioembolization → surgical resection.<br><br><span style=""color:red""><b>Repeat angioembolization:</b></span> Unlikely to succeed.<br><br><span style=""color:red""><b>Observation:</b></span> Unsafe active bleed.<br><br><span style=""color:red""><b>Endoscopic hemostasis:</b></span> Already attempted.<br><br><span style=""color:red""><b>Rectal packing:</b></span> Not for proximal GI.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Radiology fails → surgery.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Angioembolization was performed but active bleeding continues. When a radiologic method fails to stop the hemorrhage, what surgical step is left?"
RWR-Trauma-001,Trauma,,"A 28-year-old man presents to the emergency department after a motor vehicle accident. He is hemodynamically stable, with normal blood pressure and heart rate. He requires IV access for fluid resuscitation and laboratory investigations. Which of the following is the most appropriate initial choice for vascular access?",Peripheral 14-gauge cannula,Peripheral 24-gauge cannula,Central line,Intraosseous line,Peripherally inserted central catheter (PICC),A,"<span style=""color:green""><b>Peripheral 14‑gauge cannula:</b></span> Large-bore IV for rapid volume resuscitation.<br><br><span style=""color:red""><b>24‑gauge:</b></span> Pediatric, low flow.<br><br><span style=""color:red""><b>Central line:</b></span> Not first step.<br><br><span style=""color:red""><b>Intraosseous line:</b></span> If IV fails.<br><br><span style=""color:red""><b>PICC:</b></span> High resistance.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Big catheter = 14/16 G for trauma.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> You need rapid volume infusion in a trauma patient. Which gauge of peripheral IV allows the highest flow rate—14 or 24?"
