QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
Rafi-Ana-Abdomen-001,Anatomy,Abdomen,Xiphoid process (Xiphisternum) is at which vertebral level:,T9,T10,T8,T11,L1,A,
Rafi-Ana-Abdomen-002,Anatomy,Abdomen,"Trans pyloric plane (Origin of SMA, Left Kidney hilum) lies at which level:",L1,L2,T12,T11,L3,A,
Rafi-Ana-Abdomen-003,Anatomy,Abdomen,Esophagogastric junction is at the level of:,T11,T10,T12,L1,L2,A,
Rafi-Ana-Abdomen-004,Anatomy,Abdomen,Pulsating abdominal mass (abdominal aortic aneurysm). Most common site is:,L3-L4 (Infrarenal),T12,L1,L2,L5,A,
Rafi-Ana-Abdomen-005,Anatomy,Abdomen,IVC bifurcates at the level of:,L5,L4,L3,S1,S2,A,
Rafi-Ana-Abdomen-006,Anatomy,Abdomen,Structure most commonly damaged during appendectomy (McBurney's point incision):,Iliohypogastric nerve,Ilioinguinal nerve,Genitofemoral nerve,Obturator nerve,Sciatic nerve,A,
Rafi-Ana-Abdomen-007,Anatomy,Abdomen,Artery at risk of damage during lateral extension of appendectomy incision:,Deep circumflex iliac artery,Inferior epigastric artery,Superficial epigastric artery,External iliac artery,Femoral artery,A,
Rafi-Ana-Abdomen-008,Anatomy,Abdomen,Appendix most common position and its blood supply:,Retrocecal; Appendicular artery (branch of ileocolic),Pelvic; Right colic artery,Subcecal; Middle colic artery,Preileal; SMA,Postileal; IMA,A,
Rafi-Ana-Abdomen-009,Anatomy,Abdomen,Inferior epigastric artery is a branch of:,External iliac artery,Femoral artery,Internal iliac artery,Common iliac artery,Aorta,A,
Rafi-Ana-Abdomen-010,Anatomy,Abdomen,Superficial epigastric artery is a branch of:,Femoral artery,External iliac artery,Internal iliac artery,Common iliac artery,Profunda femoris,A,
Rafi-Ana-Abdomen-011,Anatomy,Abdomen,"If celiac trunk is compressed, the structure LEAST likely to become ischemic is:",Liver (due to portal vein supply),Stomach,Spleen,Pancreas,Duodenum,A,
Rafi-Ana-Abdomen-012,Anatomy,Abdomen,Right gastric artery usually originates from:,Proper Hepatic artery,Common Hepatic artery,Gastroduodenal artery,Celiac trunk,Superior mesenteric artery,A,
Rafi-Ana-Abdomen-013,Anatomy,Abdomen,Short gastric and left gastroepiploic arteries are branches of:,Splenic artery,Hepatic artery,Gastroduodenal artery,Left gastric artery,Superior mesenteric artery,A,
Rafi-Ana-Abdomen-014,Anatomy,Abdomen,Cystic artery is a branch of:,Right hepatic artery,Left hepatic artery,Common hepatic artery,Gastroduodenal artery,Celiac trunk,A,
Rafi-Ana-Abdomen-015,Anatomy,Abdomen,Upper half of duodenum is supplied by:,Superior pancreaticoduodenal artery (branch of gastroduodenal),Inferior pancreaticoduodenal artery,Right gastric artery,Right gastroepiploic artery,Splenic artery,A,
Rafi-Ana-Abdomen-016,Anatomy,Abdomen,Lower half of duodenum is supplied by:,Inferior pancreaticoduodenal artery (branch of SMA),Superior pancreaticoduodenal artery,Right gastric artery,Right gastroepiploic artery,Splenic artery,A,
Rafi-Ana-Abdomen-017,Anatomy,Abdomen,Which artery lies posterior to the first part of duodenum?,Gastroduodenal artery,Superior mesenteric artery,Splenic artery,Left gastric artery,Hepatic artery,A,
Rafi-Ana-Abdomen-018,Anatomy,Abdomen,Urinary bladder and prostate are separated from rectum by:,Denonvilliers' fascia (rectovesical septum),Waldeyer's fascia,Pelvic fascia,Peritoneum,Scarpa's fascia,A,
Rafi-Ana-Abdomen-019,Anatomy,Abdomen,Nerve supply of Detrusor muscle (Parasympathetic for emptying):,Pelvic splanchnic nerves (inferior hypogastric plexus),Sympathetic nerves,Pudendal nerve,Obturator nerve,Genitofemoral nerve,A,
Rafi-Ana-Abdomen-020,Anatomy,Abdomen,Lymphatic drainage of the urinary bladder primarily goes to:,External and Internal iliac lymph nodes,Inguinal lymph nodes,Para-aortic lymph nodes,Sacral lymph nodes,Lumbar nodes,A,
Rafi-Ana-Abdomen-021,Anatomy,Abdomen,Suprarenal gland nerve supply:,Greater Thoracic Splanchnic nerve,Vagus nerve,Pelvic splanchnic,Lumbar splanchnic,Intercostal nerves,A,
Rafi-Ana-Abdomen-022,Anatomy,Abdomen,True about Left suprarenal gland:,"Crescent shaped, drains directly to left renal vein","Triangular shaped, drains to IVC",Smaller than right,Anterior to pancreas,Posterior to kidney,A,
Rafi-Ana-Abdomen-023,Anatomy,Abdomen,Abdominal Angina occurs due to narrowing of:,Superior mesenteric artery,Inferior mesenteric artery,Celiac trunk,Renal artery,Hepatic artery,A,
Rafi-Ana-Abdomen-024,Anatomy,Abdomen,At which level does colon blood supply convert from SMA to IMA?,Distal 1/3 of Transverse colon,Ascending colon,Descending colon,Sigmoid colon,Rectum,A,
Rafi-Ana-Abdomen-025,Anatomy,Abdomen,Lesser sac relations:,"Anteriorly by stomach, Posteriorly by pancreas, Laterally by spleen",Superiorly by duodenum,Inferiorly by liver,Posteriorly by stomach,Laterally by IVC,A,
Rafi-Ana-Abdomen-026,Anatomy,Abdomen,Direct inguinal hernia enters the inguinal canal through:,Hesselbach's triangle (medial to inferior epigastric artery),Deep ring,Superficial ring,Femoral ring,Obturator foramen,A,
Rafi-Ana-Abdomen-027,Anatomy,Abdomen,Indirect inguinal hernia enters the inguinal canal through:,Deep inguinal ring (lateral to inferior epigastric artery),Posterior wall,Superficial ring directly,Femoral canal,Obturator canal,A,
Rafi-Ana-Abdomen-028,Anatomy,Abdomen,Femoral hernia protrudes below inguinal ligament through femoral canal:,"Lateral to lacunar ligament, medial to femoral vein",Lateral to femoral vein,Anterior to femoral vein,Posterior to femoral vein,Medial to pubic tubercle,A,
Rafi-Ana-Abdomen-029,Anatomy,Abdomen,In Incisional hernia first structure present from inward to outward is:,Peritoneum,Transversalis fascia,Muscle,Subcutaneous fat,Skin,A,
Rafi-Ana-Abdomen-030,Anatomy,Abdomen,Congenital diaphragmatic hernia (loops of bowel in thorax) is caused by:,Incomplete pleuroperitoneal membrane,Defect in septum transversum,Defect in dorsal mesentery,Esophageal hiatus hernia,Trauma,A,
Rafi-Ana-Abdomen-031,Anatomy,Abdomen,Structure most commonly encountered in repair of right inguinal hernia:,Spermatic cord / Ilioinguinal nerve,Inferior epigastric vessels,Vas deferens,Cremaster muscle,Pampiniform plexus,A,
Rafi-Ana-Abdomen-032,Anatomy,Abdomen,Lacunar ligament is the medial rolled up part of:,Inguinal ligament,Reflected inguinal ligament,Pectineal ligament,Conjoint tendon,Fascia lata,A,
Rafi-Ana-Abdomen-033,Anatomy,Abdomen,Main dynamic support of the uterus (preventing prolapse):,Pelvic diaphragm (Levator ani and coccygeus),Urogenital diaphragm,Perineal body,Obturator internus,Piriformis,A,
Rafi-Ana-Abdomen-034,Anatomy,Abdomen,Main ligamentous support of uterus:,Transverse cervical (Cardinal) ligament,Broad ligament,Round ligament,Uterosacral ligament,Ovarian ligament,A,
Rafi-Ana-Abdomen-035,Anatomy,Abdomen,Ligament that holds uterus in anteverted position and attaches to labia majora:,Round ligament (gubernaculum remnant),Broad ligament,Cardinal ligament,Uterosacral ligament,Ovarian ligament,A,
Rafi-Ana-Abdomen-036,Anatomy,Abdomen,Ureter is related posteriorly to (and at risk during ligation of):,"Ovarian vessels (""water under the bridge"")",Internal iliac vessels,External iliac vessels,Round ligament,Uterosacral ligament,A,
Rafi-Ana-Abdomen-037,Anatomy,Abdomen,"During hysterectomy, ureter is most at risk of damage when ligating:",Uterine artery (crossed anteriorly by artery),Ovarian artery,Internal iliac,External iliac,Common iliac,A,
Rafi-Ana-Abdomen-038,Anatomy,Abdomen,Most common site of lodging for a ureteric stone:,Vesicoureteric junction (narrowest point),Pelvic brim (crossing iliacs),Renal pelvis (UPJ),Urethra,Mid-ureter,A,
Rafi-Ana-Abdomen-039,Anatomy,Abdomen,Left gonadal (testicular/ovarian) and left suprarenal veins drain into:,Left renal vein (which then crosses anterior to aorta to reach IVC),Inferior vena cava (IVC),Right renal vein,Portal vein,Splenic vein,A,
Rafi-Ana-Abdomen-040,Anatomy,Abdomen,Right gonadal (testicular/ovarian) and right suprarenal veins drain into:,Inferior vena cava (IVC) directly,Left renal vein,Right renal vein,Portal vein,Splenic vein,A,
Rafi-Ana-Abdomen-041,Anatomy,Abdomen,Relation of the left renal vein to major vessels:,"Anterior to Aorta, Posterior to SMA (Nutcracker position)",Posterior to aorta,Anterior to SMA,Posterior to IVC,Anterior to IVC,A,
Rafi-Ana-Abdomen-042,Anatomy,Abdomen,Gynecoid pelvis characteristics:,"Round inlet, wide transverse diameter, subpubic angle > 90 (Best for delivery)",Narrow subpubic arch,Prominent sacral promontory,Heart shaped inlet,Narrow ischial spines,A,
Rafi-Ana-Abdomen-043,Anatomy,Abdomen,Android (Male type) pelvis characteristics:,"Heart shaped inlet, narrow subpubic arch, prominent ischial spines",Round inlet,Wide transverse diameter,AP diameter > Transverse,Subpubic angle > 90,A,
Rafi-Ana-Abdomen-044,Anatomy,Abdomen,"Pudendal nerve (S2, S3, S4) supplies:","External anal sphincter, external urethral sphincter, perineal skin",Internal anal sphincter,Detrusor muscle,Cremaster muscle,Thigh muscles,A,
Rafi-Ana-Abdomen-045,Anatomy,Abdomen,Landmark for administering a pudendal nerve block:,Ischial spine,Ischial tuberosity,Pubic tubercle,Iliac crest,Sacrum,A,
Rafi-Ana-Abdomen-046,Anatomy,Abdomen,Muscle deliberately cut during mediolateral episiotomy:,Bulbospongiosus and superficial transverse perineal,External anal sphincter,Levator ani,Ischiocavernosus,Deep transverse perineal,A,
Rafi-Ana-Abdomen-047,Anatomy,Abdomen,"Phrenic nerve (C3, C4, C5) damage or irritation results in:",Diaphragm paralysis / Shoulder tip pain,Respiratory reflex lost,Cough reflex lost,Sneeze reflex lost,Vomiting reflex lost,A,
Rafi-Ana-Abdomen-048,Anatomy,Abdomen,The superior rectal artery is a branch of the:,Inferior mesenteric artery,Internal iliac artery,Internal pudendal artery,External iliac artery,Aorta,A,
Rafi-Ana-Aorta-001,Anatomy,Aorta,Thoracic (Descending) Aorta begins at:,T4,T2,T6,C6,L1,A,
Rafi-Ana-Aorta-002,Anatomy,Aorta,Bronchial arteries branch from descending aorta at:,T5-T6,T3-T4,T7-T8,T1-T2,L1-L2,A,
Rafi-Ana-Aorta-003,Anatomy,Aorta,Artery of Adamkiewicz originates from aorta at:,T9-T11,T5-T6,T12-L1,L2-L3,T1-T2,A,
Rafi-Ana-Aorta-004,Anatomy,Aorta,Aortic hiatus in diaphragm is at:,T12,T10,T8,L1,L2,A,
Rafi-Ana-Aorta-005,Anatomy,Aorta,Renal arteries originate from aorta at:,L1-L2,L3,T12,T10,L4,A,
Rafi-Ana-Aorta-006,Anatomy,Aorta,True muscles of the back (trunk) are supplied by:,Posterior (Dorsal) rami of spinal nerves,Ventral rami,Intercostal nerves,Cranial nerves,Sympathetic chain,A,
Rafi-Ana-Aorta-007,Anatomy,Aorta,Dermatome for Clavicle / Supraclavicular area:,C3-C4,C5-C6,T1-T2,T2-T3,C2,A,
Rafi-Ana-Back: Muscles-001,Anatomy,Back,Cervical enlargement of spinal cord extends from:,C5 to T1,C4 to T1,C3 to T2,C6 to C8,C5 to C8,A,
Rafi-Ana-Back: Muscles-002,Anatomy,Back,Dermatome for Thumb and Lateral Wrist:,C6,C7,C8,C5,T1,A,
Rafi-Ana-Back: Nerve Supply-001,Anatomy,Back,Dermatome for Ring and Little fingers:,C8,C7,C6,C5,T1,A,
