QuestionID,Year,Exam,Subject,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint,
PHY-BFL-001,2026,Anesthesia - 01/26 - January 5 - Morning,Physiology,Body Fluids,,"After a marathon race, a person loses 2 L of fluid by sweating. He drank 2 L of water. What will happen?",Decrease ECF volume,Decrease ICF volume,Increase osmolarity of ICF,Decrease osmolarity of ECF,No change,D,,,
ANA-CVS-001,2026,Anesthesia - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,A patient presents with a stab wound just lateral to the sternum on the left side at the sixth intercostal space. Which structure is most likely damaged?,Superior vena cava,Aorta,Pericardium,4th rib,Left ventricle (Apex area),E,,,
ANA-CVS-002,"2026, 2025","Surgery - 01/26 - January 7 - Evening, Surgery - 04/26 - April 7 - Night, Surgery - 08/25 - August 6 - Evening",Anatomy,Cardiovascular System,,"A person got a stab wound 3cm vertical on lateral right side of linea alba, initially he was fine but then developed hypotension & shock. Which vessel is most likely damaged.",IVC,Superior mesenteric Artery,Inferior Mesenteric Artery,Abdominal Aorta,Ileal branch of superior mesenteric artery,A,"The inferior vena cava lies on the right side of the abdominal aorta. Therefore, a penetrating wound just lateral to the right side of the linea alba can injure the IVC. Injury to this large vessel can cause massive internal hemorrhage, hypotension, and hypovolemic shock.",,
ANA-CVS-003,2026,"Medicine - 07/26 - July 9 - Afternoon, Surgery - 07/26 - July 09 - Afternoon",Anatomy,Cardiovascular System,,The splenic artery is a branch of:,Superior mesenteric artery,Inferior mesenteric artery,Celiac trunk,Abdominal aorta,,C,Left gastric from – Celiac Right gastric from – Hepatic Short gastric from – Splenic Left gastroepiploic from – Splenic Right gastroepiploic from – Gastroduodenal,,
ANA-CVS-004,2025,Surgery - 08/25 - August 7 - Morning,Anatomy,Cardiovascular System,,Through hasselbach triangle which hernia comes out?,Direct inguinal hernia,Indirect inguinal hernia,Femoral hernia,Abdominal hernia,,A,,,
ANA-CVS-005,2026,Medicine - 07/26 - July 7 - Evening,Anatomy,Cardiovascular System,,A patient presents with severe posterior epistaxis (nosebleed) that is difficult to control with anterior nasal packing. Which of the following is the most likely arterial source of bleeding?,Facial artery,Sphenopalatine artery,Superior labial artery,Angular artery,,B,,,
ANA-CVS-006,2026,Radiology - 07/26 - July 08 - Morning,Anatomy,Cardiovascular System,,The right border of the heart on a chest X-ray is formed by:,SVC,Right atrium,IVC,Aorta,,A,(Prefer SVC + Right atrium ) Source Double A Explanation Borders Four Borders Right Border formed by - Right Atrium and on Xray by SVC +Right atrium Left Border formed by - Left ventricle Superior Border formed by - Right and Left Atria Inferior Border Formed by - Right Ventricle >Left Ventricle Surfaces Four Surfaces Anterior (Sternocostal) Surface formed by - Right Ventricle Inferior (Diaphragmatic) Surface formed by - Left Ventricle >Right Ventricle Right Pulmonary Surface formed by - Right Atrium Left Pulmonary Surface(Cardiac Impression) formed by - Left Ventricle Apex Formed by Inferolateral part of Left ventricle Posterior to left 5th ICS 9cm from Median plane Base It is Heart Posterior Aspect Formed by Left Atrium >Right Atrium,,
ANA-CVS-007,2026,Medicine - 01/26 - January 8 - Morning,Anatomy,Cardiovascular System,,Which statement correctly describes the origin and a major branch of the left coronary artery?,Arises from the right coronary sinus; gives off the posterior interventricular artery,Arises from the left coronary sinus; gives off the anterior interventricular artery,Arises from the pulmonary trunk; gives off the circumflex artery,Arises from the left coronary sinus; gives off the posterior interventricular artery,,B,,,
ANA-CVS-008,2026,Surgery - 07/26 - July 09 - Afternoon,Anatomy,Cardiovascular System,,Blood supply of the left palatine tonsil by left tonsilar artery branch of,Facial artery,Maxillary artery,Lingual artery,Ascending pharyngeal artery,,A,,,
ANA-CVS-009,2026,Medicine - 07/26 - July 9 - Afternoon,Anatomy,Cardiovascular System,,"Child presented with recurrent sore throat infection, his tonsillectomy done blood supply of the left palatine tonsil by left tonsilar artery branch of",Facial artery,Maxillary artery,Lingual artery,Ascending pharyngeal artery,,A,,,
