QuestionID,Year,Exam,Subject,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
Pharm-Anes-FD-001,2026,Anesthesia - 5 January (M),Pharmacology,Anesthesiology,Flow Dynamics,Flow through an orifice depends on which of the following?,Discharge coefficient,Inversely propotional to pressure,Directly proportional to square root of pressure,Directly proportional to square root of pressure difference across the orifice,Inversely proportional to square root of pressure difference across the orifice,D,
Pharm-Anes-GA-001,2026,Radiology - 5 January (M),Pharmacology,Anesthesiology,General Anesthesia,"For fast recovery of a patient after surgery, which should be avoided?",Big incision,Early mobilization,Early Break of NPO,Epidural Analgesia,,A,
Pharm-Anes-LA-001,2026,Surgery - 7 January (E),Pharmacology,Anesthesiology,Local Anesthesia,A man after RTA got a head injury which is to be stitched 10 inch wound/laceration which anesthesist agent will best for suturing the wound?,250 ml of 2% lignocaine with adrenaline,4.5% with adrenalin,250 ml of 0.5% lignocaine with adrenaline,150 ml lignocaine,Plain lignocaine,A,"Adrenaline → vasoconstriction → prolongs anesthesia, reduces bleeding.<br>2% concentration → safe for scalp."
Pharm-Anes-Monitor-001,2026,Anesthesia - 5 January (M),Pharmacology,Anesthesiology,Monitoring,"A ""dip"" or ""cleft"" in the plateau of a capnogram (Curare cleft) represents:",Eye opening,Re-breathing,Hypoventilation,Emboli,,B,
Pharm-Amicro-Antibio-001,2026,Gynecology - 6 January (M),Pharmacology,Antimicrobials,Antibiotics,What is the mechanism of action of ciprofloxacin?,Inhibits cell wall synthesis,Inhibits DNA-dependent RNA polymerase,Inhibits DNA gyrase (topoisomerase II),Inhibits 30S ribosomal subunit,Inhibits folate synthesis,C,
Pharm-Amicro-Antibio-002,2026,Medicine - 5 January (E),Pharmacology,Antimicrobials,Antibiotics,Which antibiotic should be avoided in a 45-year-old with chronic inflammatory arthritis due to adverse effects on joints and cartilage?,Penicillin,Cephalosporin,Fluoroquinolone,Macrolide,,C,"<div class=""explanation-container""><div class=""explanation-text""><div style=""color:#16a34a;font-weight:800;margin-bottom:6px;"">✔ Correct Answer: Fluoroquinolone</div><div style=""margin-bottom:8px;""><b>Explanation:</b> Fluoroquinolones damage cartilage and increase risk of tendinopathy, especially in patients with joint disease.</div><div style=""margin-bottom:10px;padding:8px 10px;background:#ecfdf5;border-left:4px solid #16a34a;border-radius:6px;""><b>Clinical Pearl:</b> Avoid fluoroquinolones in children and joint disease.</div><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Penicillin:</b></div>Safe for joints.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Cephalosporin:</b></div>No cartilage toxicity.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Macrolide:</b></div>No such adverse effect.</div></div></div>"
Pharm-Amicro-Antibio-003,2026,Medicine - 7 January (M),Pharmacology,Antimicrobials,Antibiotics,A patient is prescribed an anti that inhibits bacterial synthesis by binding to the ribosomal subunit. Which drug is most likely responsible?,Macrolides,Aminoglycosides,Tetracyclines,Fluoroquinolones,,B,
Pharm-Amicro-Antibio-004,2026,Gynecology - 5 January (M),Pharmacology,Antimicrobials,Antibiotics,The mechanism of action of tetracycline is:,Inhibits DNA gyrase,Inhibits RNA polymerase,Inhibits tRNA attachment to 30S ribosome,Disrupts peptidoglycan cross-linking,,C,"Table: Inhibition of cell wall synthesis: Penicillins, Cephalosporins, etc. Inhibition of protein synthesis: 30S: Tetracycline, Aminoglycosides; 50S: Erythromycin, Chloramphenicol, Clindamycin. Inhibition of nucleic acid synthesis: Folic acid: Sulfonamides, Trimethoprim; DNA gyrase: Quinolones; RNA polymerase: Rifampin. Disruption of cell membrane: Polymixin, Amphotericin B, Ketoconazole."
Pharm-Amicro-Antibio-005,2026,Surgery - 6 January (E),Pharmacology,Antimicrobials,Antibiotics,"In a patient with chronic renal failure being treated for otitis media, which medication requires caution?",Metformin,Amoxicillin,Gentamicin,Ceftriaxone,,C,
Pharm-Amicro-Antibio-006,2026,Radiology - 6 January (M),Pharmacology,Antimicrobials,Antibiotics,What is the mechanism of action of ciprofloxacin?,Inhibits cell wall synthesis,Inhibits DNA-dependent RNA polymerase,Inhibits DNA gyrase (topoisomerase II),Inhibits 30S ribosomal subunit,Inhibits folate synthesis,C,
Pharm-Amicro-Antibio-007,2026,Anesthesia - 5 January (M),Pharmacology,Antimicrobials,Antibiotics,A patient presented with a stiff neck and fever. Culture shows gram-positive diplococci and cocci in chains. Best empiric treatment option?,Ceftriaxone + vancomycin,Penicillin,Ampicillin + gentamicin,Cefepime,,A,
Pharm-Amicro-Antibio-008,2026,Surgery - 6 January (E),Pharmacology,Antimicrobials,Antibiotics,"In a chronic alcoholic with Helicobacter pylori infection, which drug is least effective?",Insulin,PPI,Clarithromycin,Metronidazole,,A,
Pharm-Amicro-Antibio-009,2026,Surgery - 6 January (E),Pharmacology,Antimicrobials,Antibiotics,An alcoholic patient with H. pylori infection receives standard triple therapy. Which drug's efficacy is reduced by alcohol?,Propranolol,Clarithromycin,Metronidazole,Amoxicillin,,C,
Pharm-Amicro-Antibio-010,2026,Radiology - 6 January (M),Pharmacology,Antimicrobials,Antibiotics,"Which antibiotic is most effective against Listeria monocytogenes, including neonatal meningitis?",Ampicillin,Vancomycin,Ceftriaxone,Gentamicin alone,,A,"Ampicillin is the drug of choice for Listeria infections. Often combined with gentamicin in severe infections (synergistic effect). Cephalosporins (e.g., ceftriaxone) are ineffective against Listeria."
Pharm-Amicro-Antibio-011,2026,Anesthesia - 5 January (M),Pharmacology,Antimicrobials,Antibiotics,Drug of choice in community-acquired pneumonia (CAP) for an admitted patient:,Tetracycline + cephalosporin,Clarithromycin + penicillin,Cephalosporin monotherapy,Macrolides (or Ceftriaxone + Macrolide),,D,
Pharm-Amicro-Antibio-012,2026,Radiology - 5 January (M),Pharmacology,Antimicrobials,Antibiotics,Mechanism of action of tetracycline is:,Inhibits DNA gyrase,Blocks tRNA binding to ribosome,Inhibits folate synthesis,Inhibits peptidoglycan cross-linking,,B,
Pharm-Amicro-Antibio-013,2026,Anesthesia - 5 January (M),Pharmacology,Antimicrobials,Antibiotics,What is the mechanism of action of tetracycline?,Blocks aminoacyl tRNA binding,Prevents translocation of peptidyl tRNA,Inhibits peptide bond formation,Blocks release of deacylated tRNA from E site,Inhibits aminoacyl tRNA center,A,
Pharm-Amicro-Antibio-014,2026,Medicine - 6 January (E),Pharmacology,Antimicrobials,Antibiotics,"In a chronic alcoholic patient with H pylori infection, which drug is least effective?",Metronidazole,PPI,Clarithromycin,Amoxicillin,,A,
Pharm-Amicro-Antibio-015,2026,Medicine - 6 January (E),Pharmacology,Antimicrobials,Antibiotics,A patient with chronic renal failure and otitis media should receive which drug with caution?,Amoxicillin,Ceftriaxone,Gentamicin,Azithromycin,,C,Gentamicin is nephrotoxic and ototoxic.
Pharm-Amicro-Antibio-016,2026,Medicine - 7 January (M),Pharmacology,Antimicrobials,Antibiotics,"In a patient with renal disease requiring antibiotic therapy, the drug of choice is:",Amoxicillin,Ceftriaxone,Gentamicin,Ciprofloxacin,,B,Explanation: Ceftriaxone is preferred in renal disease because it has minimal renal excretion and does not require significant dose adjustment.
